"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month"
"vstorm-co/memv","https://github.com/vstorm-co/memv","https://github.com/vstorm-co/memv.git","main","Structured, temporal memory for AI agents.","autogen","85","12","Python","agentic,agentic-ai,agentic-framework,ai-agents,ai-memory,llm-agents,open-source","8","1166","2026-01-26T14:18:26Z","2026-06-12T07:33:13Z","2026-05-18T00:06:02Z","MIT","111","3","58","15.68"
"hepai-lab/drsai","https://github.com/hepai-lab/drsai","https://github.com/hepai-lab/drsai.git","main","An integrated framework for rapid development and deployment of agent and multi-agent systems by HEPAI Group","autogen","13","5","HTML","","0","120691","2025-08-26T02:03:19Z","2026-06-12T02:44:40Z","2026-06-12T02:44:37Z","","290","9","899","93.0"
"NVIDIA/NeMo-Agent-Toolkit","https://github.com/NVIDIA/NeMo-Agent-Toolkit","https://github.com/NVIDIA/NeMo-Agent-Toolkit.git","develop","The NVIDIA NeMo Agent toolkit is an open-source library for efficiently connecting and optimizing teams of AI agents.","autogen","2407","675","Python","","43","92114","2025-03-06T17:23:52Z","2026-06-12T21:12:29Z","2026-06-13T03:17:21Z","Apache-2.0","463","90","1403","90.91"
"sideseat/sideseat","https://github.com/sideseat/sideseat","https://github.com/sideseat/sideseat.git","main","Unified workbench for building and debugging AI Agents","autogen","42","2","Rust","","6","226606","2025-10-30T08:12:41Z","2026-06-09T13:49:25Z","2026-05-30T00:42:21Z","Apache-2.0","211","3","105","14.93"
"Arize-ai/openinference","https://github.com/Arize-ai/openinference","https://github.com/Arize-ai/openinference.git","main","OpenTelemetry Instrumentation for AI Observability","autogen, openai-agents, openlit","1023","259","Python","aiops,gemini,hacktoberfest,haystack,langchain,langraph,llamaindex,llmops,llms,mcp,openai,openai-agents,opentelemetry,pydantic-ai,smolagents,telemetry,tracing,vercel,vertex","188","18884","2023-12-26T17:33:58Z","2026-06-13T07:24:52Z","2026-06-11T18:03:18Z","Apache-2.0","898","106","1923","64.24"
"Cisco-Talos/PEAK-Assistant","https://github.com/Cisco-Talos/PEAK-Assistant","https://github.com/Cisco-Talos/PEAK-Assistant.git","main","An AI-backed threat hunting assistant that aligns to the PEAK framework.","autogen","44","6","Python","","2","2878","2025-04-30T18:24:07Z","2026-06-07T12:47:47Z","2026-06-01T17:27:24Z","MIT","396","4","367","27.8"
"ltjed/multiagent-coaching","https://github.com/ltjed/multiagent-coaching","https://github.com/ltjed/multiagent-coaching.git","main","Finetune any multiagent system on any task w/ MAPPA","autogen","404","18","Python","continual-learning,multiagent-reinforcement-learning,multiagent-systems","0","2777","2026-01-16T23:51:22Z","2026-06-13T11:47:54Z","2026-04-20T00:50:59Z","MIT","93","3","24","7.74"
"davidmonterocrespo24/DaveLovable","https://github.com/davidmonterocrespo24/DaveLovable","https://github.com/davidmonterocrespo24/DaveLovable.git","main","DaveLovable The Most Advanced Open-Source AI Web Development Platform  Build React applications at lightning speed with AI-powered multi-agent orchestration","autogen","47","18","Python","ai,autogen,llm,lovable,ui-design","2","51766","2025-12-26T22:51:54Z","2026-05-18T03:53:48Z","2026-02-09T20:44:55Z","","44","2","189","128.86"
"oracle/agent-spec","https://github.com/oracle/agent-spec","https://github.com/oracle/agent-spec.git","main","Open Agent Spec (Agent Spec) is a framework-agnostic declarative language for defining agentic systems. It defines building blocks for standalone agents and structured agentic workflows as well as common ways of composing them into multi-agent systems.","autogen","371","49","Python","","30","17529","2025-10-02T11:40:15Z","2026-06-12T08:34:17Z","2026-06-12T08:34:13Z","Apache-2.0","252","26","181","21.55"
"panaversity/learn-agentic-ai","https://github.com/panaversity/learn-agentic-ai","https://github.com/panaversity/learn-agentic-ai.git","main","Learn Agentic AI using Dapr Agentic Cloud Ascent (DACA) Design Pattern and Agent-Native Cloud Technologies: OpenAI Agents SDK, Memory, MCP, A2A, Knowledge Graphs, Dapr, Rancher Desktop, and Kubernetes.","autogen, crewai, openai-agents","4224","979","Jupyter Notebook","a2a,agentic-ai,dapr,dapr-pub-sub,dapr-service-invocation,dapr-sidecar,dapr-workflow,docker,kafka,kubernetes,langmem,mcp,openai,openai-agents-sdk,openai-api,postgresql-database,rabbitmq,rancher-desktop,redis,serverless-containers","59","213387","2024-06-12T07:50:04Z","2026-06-13T14:43:33Z","2025-10-26T01:09:51Z","MIT","500","16","2076","124.56"
"splx-ai/agentic-radar","https://github.com/splx-ai/agentic-radar","https://github.com/splx-ai/agentic-radar.git","main","A security scanner for your LLM agentic workflows","autogen, crewai","979","131","Python","agentic-ai,agentic-framework,agentic-workflow,ai,ai-red-teaming,ai-security,cli,devsecops,generative-ai,llm,llm-security,mcp,mcp-server,red-teaming,security,security-tools","15","18679","2025-02-12T11:50:49Z","2026-06-12T13:28:24Z","2025-11-27T15:28:44Z","Apache-2.0","288","8","103","10.73"
"signalfx/splunk-opentelemetry-examples","https://github.com/signalfx/splunk-opentelemetry-examples","https://github.com/signalfx/splunk-opentelemetry-examples.git","main","","autogen, openlit","11","11","Kotlin","","5","69277","2024-11-18T22:59:22Z","2026-06-11T23:40:22Z","2026-06-12T23:27:26Z","Apache-2.0","571","7","528","27.74"
"getzep/zep","https://github.com/getzep/zep","https://github.com/getzep/zep.git","main","Zep | Examples, Integrations, & More","autogen, livekit-agents","4662","634","Python","ai,knowledge-graphs,language-model,llm","23","56993","2023-04-29T14:06:22Z","2026-06-13T09:16:39Z","2026-04-09T01:30:25Z","Apache-2.0","1075","17","338","9.43"
"VincenzoManto/Doxa","https://github.com/VincenzoManto/Doxa","https://github.com/VincenzoManto/Doxa.git","main","A YAML-driven multi-agent simulation platform for economic and social systems. It combines LLM-backed agents, market microstructure, relation graphs, and world events behind a FastAPI API and a React client.","autogen","13","1","Python","academic,agent-based-modeling,agents,autogen,complex-adaptive-systems,economics,emergent-behavior,forecast,game-theory,llm,markets,multi-agent-systems,python,scenarios,simulation","5","1970","2026-04-09T07:31:15Z","2026-06-13T04:58:46Z","2026-05-25T20:09:54Z","GPL-3.0","46","4","96","62.61"
"iAmGiG/AutoTrader-AgentEdge","https://github.com/iAmGiG/AutoTrader-AgentEdge","https://github.com/iAmGiG/AutoTrader-AgentEdge.git","development","Production multi-agent trading platform with rigorous walk-forward validation. TSMOM momentum (1.097 Sharpe) + GEX regime filtering. Interactive CLI, autonomous trade lifecycle, daily scheduler. Alpaca integration. Built on Microsoft AutoGen. Research-driven approach with statistical validation. Educational - not financial advice.","autogen","18","2","Python","agentedge,ai-agents,algorithmic-trading,autogen-agentchat,autonomous-agents,autotrader,gamma-exposure,human-in-the-loop,machine-learning,multi-agent-system,multi-agent-systems,paper-trading,python,quantitative-trading,research,statistical-validation,technical-analysis,time-series-momentum,trading-bot,walk-forward-validation","34","6597","2025-01-15T02:53:22Z","2026-05-20T16:44:49Z","2026-02-16T04:01:18Z","AGPL-3.0","397","2","671","50.71"
"kfq20/AEGIS","https://github.com/kfq20/AEGIS","https://github.com/kfq20/AEGIS.git","main","AEGIS: Automated Error Generation and Attribution for Multi-Agent Systems","autogen","25","5","Python","","1","7418","2025-09-16T11:57:10Z","2026-06-10T12:01:19Z","2026-02-28T01:35:10Z","MIT","164","2","13","2.38"
"kedro-org/kedro-academy","https://github.com/kedro-org/kedro-academy","https://github.com/kedro-org/kedro-academy.git","main","Repo for Kedro Academy","autogen","29","77","Jupyter Notebook","","20","63986","2023-01-27T10:30:42Z","2026-06-04T22:59:22Z","2026-06-12T21:29:17Z","Apache-2.0","1232","42","620","15.1"
"enthudebugger/agentic-ai-course","https://github.com/enthudebugger/agentic-ai-course","https://github.com/enthudebugger/agentic-ai-course.git","main","Explore Agentic AI with the Dapr Agentic Cloud Ascent (DACA) pattern, using OpenAI Agents SDK, MCP, A2A communication, knowledge graphs, and Dapr. Orchestrated via Rancher Desktop and Kubernetes, it enables scalable, resilient multi-agent AI systems.","autogen, crewai","17","2","Jupyter Notebook","","0","142292","2025-06-20T20:18:07Z","2026-02-17T04:14:53Z","2025-08-26T19:37:00Z","MIT","66","3","1756","798.18"
"comet-ml/opik","https://github.com/comet-ml/opik","https://github.com/comet-ml/opik.git","main","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","autogen","19609","1521","Python","evaluation,hacktoberfest,hacktoberfest2025,langchain,llama-index,llm,llm-evaluation,llm-observability,llmops,open-source,openai,playground,prompt-engineering","111","662365","2023-05-10T12:57:13Z","2026-06-13T19:41:49Z","2026-06-13T10:38:10Z","Apache-2.0","1129","131","6068","161.24"
"Alex8791-cyber/cognithor","https://github.com/Alex8791-cyber/cognithor","https://github.com/Alex8791-cyber/cognithor.git","main","Cognithor · Agent OS: Local-first autonomous agent operating system. 19 LLM providers, 18 channels, 145 MCP tools, 6-tier memory, Agent Packs marketplace, zero telemetry. Python 3.12+, Apache 2.0.","autogen","147","21","Python","agent-os,ai-agent,anthropic,autonomous-agent,discord-bot,document-analysis,gdpr-compliant,gemini,hierarchical-retrieval,knowledge-graph,knowledge-synthesis,knowledge-vault,llm,local-first,mcp,multi-llm,obsidian,ollama,openai,telegram-bot","2","64067","2026-02-25T01:24:40Z","2026-06-06T01:19:27Z","2026-06-08T10:39:19Z","Apache-2.0","103","4","2034","592.43"
"future-agi/traceAI","https://github.com/future-agi/traceAI","https://github.com/future-agi/traceAI.git","main","Open Source AI Tracing Framework built on Opentelemetry for AI Applications and Frameworks","autogen, crewai, pydantic-ai","197","33","Python","ai,ai-agents,langchain,large-language-models,observability,openai,opentelemetry,tracing","9","52236","2025-04-15T04:57:02Z","2026-06-12T08:56:13Z","2026-06-03T17:46:27Z","Apache-2.0","414","17","408","29.57"
"pettingllms-ai/PettingLLMs","https://github.com/pettingllms-ai/PettingLLMs","https://github.com/pettingllms-ai/PettingLLMs.git","main","[ICLR'26] Stronger-MAS: A RL Framework for multi LLM agent system; [arxiv] MetaAgent-X:  End-to-End Reinforcement Learning Automatic Multi-Agent Systems","autogen","185","28","Python","","12","69798","2025-10-09T22:21:07Z","2026-06-09T06:44:53Z","2026-05-15T01:33:49Z","MIT","217","6","281","38.85"
"hnuGraph/LLM4DBdesign","https://github.com/hnuGraph/LLM4DBdesign","https://github.com/hnuGraph/LLM4DBdesign.git","main","This is a project that utilizes a large model multi-agent framework to achieve automated database schema generation","autogen","11","6","Python","","0","1819","2025-03-31T07:13:33Z","2026-04-13T19:28:07Z","2025-09-15T09:02:27Z","","168","2","18","3.21"
"Kasma-Inc/Sagi","https://github.com/Kasma-Inc/Sagi","https://github.com/Kasma-Inc/Sagi.git","main","","autogen","20","10","Python","","6","2100","2025-04-23T09:38:51Z","2026-04-17T18:32:10Z","2025-11-13T15:59:21Z","","204","11","145","21.32"
"mayank953/Live-Class","https://github.com/mayank953/Live-Class","https://github.com/mayank953/Live-Class.git","main","","autogen","29","87","Jupyter Notebook","","2","110779","2025-07-06T04:08:00Z","2026-04-11T15:37:16Z","2025-11-16T05:26:21Z","","133","2","104","23.46"
"gnosis/prediction-market-agent","https://github.com/gnosis/prediction-market-agent","https://github.com/gnosis/prediction-market-agent.git","main","","autogen","85","24","Jupyter Notebook","","141","14878","2024-01-08T08:45:53Z","2026-06-12T19:24:09Z","2026-04-17T09:40:26Z","LGPL-3.0","830","6","711","25.7"
"microsoft/dstoolkit-text2sql-and-imageprocessing","https://github.com/microsoft/dstoolkit-text2sql-and-imageprocessing","https://github.com/microsoft/dstoolkit-text2sql-and-imageprocessing.git","main","This repo accelerates development of RAG applications with rich data sources including SQL Warehouses and documents analysed with Azure Document Intelligence","autogen","102","20","Python","ai,azure,entity-relationship,llm,nl2sql,query-builder,rag,search,sql,text2sql,vector","23","7192","2024-08-15T09:50:05Z","2026-06-04T09:57:49Z","2026-06-03T22:05:48Z","MIT","657","8","117","5.34"
"Insight-Services-APAC/ingenious","https://github.com/Insight-Services-APAC/ingenious","https://github.com/Insight-Services-APAC/ingenious.git","main","General-purpose Gen AI Accelerator developed for Insight APAC projects","autogen","25","13","Python","agent,autogen,azure,fastapi","0","38615","2024-10-14T03:31:01Z","2026-05-01T04:16:25Z","2026-01-13T03:14:48Z","MIT","455","15","1551","102.26"
"Tswoen/Paper-Agent","https://github.com/Tswoen/Paper-Agent","https://github.com/Tswoen/Paper-Agent.git","main","Paper-Agent 是一个面向科研人员和学生的智能论文检索与调研工具。项目基于多智能体协作架构（AutoGen + LangGraph），通过自然语言处理（NLP）、自动化搜索和知识库构建，帮助用户高效查找学术论文、分析文献内容，并进行论文调研。Paper-Agent 支持多平台集成、关键词搜索、自动分析、论文调研，提升了学术研究的效率。适用于论文写作、学术调研、科研项目管理等多种场景，是学术调研的理想助手。","autogen","234","28","Python","agent,agents,ai,autogen,chroma,langchain,llm,multi-agent,paper-agent,python,rag","0","114516","2025-09-01T01:19:24Z","2026-06-13T08:06:56Z","2026-06-05T15:04:11Z","MIT","277","5","93","10.07"
"victordibia/designing-multiagent-systems","https://github.com/victordibia/designing-multiagent-systems","https://github.com/victordibia/designing-multiagent-systems.git","main","Building LLM-Enabled Multi Agent Applications from Scratch","autogen","628","159","Python","agents,autogen,generative-ai,large-language-models,multiagent-systems","5","19328","2024-05-12T14:51:51Z","2026-06-13T19:34:04Z","2026-03-12T04:15:05Z","Apache-2.0","668","2","172","7.72"
"spmallick/learnopencv","https://github.com/spmallick/learnopencv","https://github.com/spmallick/learnopencv.git","master","Learn OpenCV  : C++ and Python Examples","crewai","22970","11693","Jupyter Notebook","ai,computer-vision,computervision,deep-learning,deep-neural-networks,deeplearning,machine-learning,opencv,opencv-cpp,opencv-library,opencv-python,opencv-tutorial,opencv3","262","3949568","2015-02-17T08:00:51Z","2026-06-13T11:31:01Z","2026-06-11T12:38:49Z","","4132","108","2759","20.03"
"lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent.git","main","Build effective agents using Model Context Protocol and simple workflow patterns","crewai","8372","855","Python","agents,ai,ai-agents,llm,llms,mcp,model-context-protocol,python","137","27351","2024-12-18T01:55:10Z","2026-06-13T07:31:02Z","2026-01-25T16:35:16Z","Apache-2.0","403","60","767","57.1"
"kagent-dev/kagent","https://github.com/kagent-dev/kagent","https://github.com/kagent-dev/kagent.git","main","Cloud Native Agentic AI | Discord: https://bit.ly/kagentdiscord","crewai","2997","606","Go","agents,ai,cncf,devops,mcp","96","20960","2025-01-21T17:03:23Z","2026-06-13T19:04:42Z","2026-06-13T02:24:24Z","Apache-2.0","507","151","1310","77.51"
"EpicStaff/EpicStaff","https://github.com/EpicStaff/EpicStaff","https://github.com/EpicStaff/EpicStaff.git","main","Source-available, self-hosted platform for building AI agent flows - visual editor over a Django backend.","agentops, crewai","259","36","Python","ade,ai,aiagents,aiagentsframework,gui,low-code,multi-agent-systems,no-code,nodebasedprogramming,orchestration,python","34","222272","2025-03-20T12:10:00Z","2026-06-11T17:12:28Z","2026-06-13T15:35:05Z","NOASSERTION","450","32","4015","267.67"
"paywithextend/extend-ai-toolkit","https://github.com/paywithextend/extend-ai-toolkit","https://github.com/paywithextend/extend-ai-toolkit.git","development","Extend AI Toolkit","crewai","16","3","Python","pod-dcf4","1","248","2025-03-17T17:54:51Z","2026-03-06T21:43:45Z","2025-11-07T16:39:56Z","MIT","234","4","106","13.59"
"rhesis-ai/rhesis","https://github.com/rhesis-ai/rhesis","https://github.com/rhesis-ai/rhesis.git","main","The testing platform for AI teams. Bring engineers, PMs, and domain experts together to generate tests, simulate (adversarial) conversations, and trace every failure to its root cause.","crewai","366","24","Python","generative-ai,llm-evaluation,llm-evaluation-framework,llmops,open-source,quality-assessment,responsible-ai,test-execution,test-generation,test-management,trustworthy-ai","122","101055","2024-10-09T19:32:19Z","2026-06-12T16:02:44Z","2026-06-12T17:55:44Z","NOASSERTION","610","27","4261","209.56"
"IBM/oic-i-agentic-ai-tutorials","https://github.com/IBM/oic-i-agentic-ai-tutorials","https://github.com/IBM/oic-i-agentic-ai-tutorials.git","main","Create External Tutorials on Agentic AI [AI for Developers and Ecosystem]","crewai","24","16","Python","","16","312612","2025-08-25T14:56:00Z","2026-06-09T18:41:17Z","2026-06-10T08:50:40Z","Apache-2.0","288","30","536","55.83"
"jchavezar/vertex-ai-samples","https://github.com/jchavezar/vertex-ai-samples","https://github.com/jchavezar/vertex-ai-samples.git","main","","crewai","42","14","Python","","2","574478","2022-10-24T15:40:31Z","2026-06-12T20:17:06Z","2026-06-12T20:16:39Z","","1327","4","1598","36.13"
"hybroai/a2a-adapter","https://github.com/hybroai/a2a-adapter","https://github.com/hybroai/a2a-adapter.git","main","Open Source A2A Protocol Adapter SDK for Different Agent Frameworks","crewai","79","9","Python","a2a,a2a-agent,a2a-client,a2a-protocol,a2a-server,agent,ai,claude-code,codex-cli,crewai,generative-ai,hermes-agent,langchain,langgraph,n8n,ollama,openclaw,python","0","1418","2025-11-15T00:54:44Z","2026-06-13T13:52:58Z","2026-05-28T23:54:22Z","Apache-2.0","194","3","208","32.16"
"metorial/metorial-python","https://github.com/metorial/metorial-python","https://github.com/metorial/metorial-python.git","main","Official Python SDK for the Metorial API 🐍 📡","crewai","11","3","Python","ai,mcp,python,sdk","0","3190","2025-07-22T10:41:51Z","2026-06-12T16:29:23Z","2026-06-12T16:29:21Z","MIT","325","3","138","12.74"
"itbench-hub/ITBench-CISO-CAA-Agent","https://github.com/itbench-hub/ITBench-CISO-CAA-Agent","https://github.com/itbench-hub/ITBench-CISO-CAA-Agent.git","main","Code repository for CISO agent as part of ITBench","crewai","20","8","Python","agents,ai,ai-agents,automation,compliance,compliance-automation,hacktoberfest,it-automation,itops","2","2256","2025-01-30T05:12:55Z","2026-04-13T14:32:30Z","2025-05-08T02:51:26Z","Apache-2.0","97","7","34","10.52"
"mishrasanjeev/grantex","https://github.com/mishrasanjeev/grantex","https://github.com/mishrasanjeev/grantex.git","main","grantex is the identity, authorization, and audit infrastructure for AI agents — the ""OAuth moment"" for the agentic internet. We provide a universal SDK and cloud service that lets any AI agent act on behalf of a human with scoped, revocable permissions, cryptographic identity, and an immutable audit trail. Developers integrate in minutes.","crewai","27","7","TypeScript","ai,ai-agents,audit-trail,authorization,compliance,crewai,delegated-auth,jwt,langchain,mcp,oauth,open-source,openai,protocol,sdk,security,vercel-ai","2","8054","2026-02-25T16:13:39Z","2026-06-13T18:00:56Z","2026-06-13T18:26:01Z","NOASSERTION","108","6","1326","368.33"
"spron-in/blog-data","https://github.com/spron-in/blog-data","https://github.com/spron-in/blog-data.git","master","The repository to keep supporting files for my blog posts.","crewai, openai-agents","17","8","Python","blog","0","1266","2021-03-12T11:50:33Z","2025-12-01T23:16:35Z","2025-09-20T08:15:34Z","","1652","5","122","2.22"
"IABTechLab/seller-agent","https://github.com/IABTechLab/seller-agent","https://github.com/IABTechLab/seller-agent.git","main","","crewai","19","11","Python","","8","2137","2026-01-27T22:08:26Z","2026-06-10T21:33:27Z","2026-06-11T19:30:02Z","Apache-2.0","134","6","172","38.51"
"ComposioHQ/composio","https://github.com/ComposioHQ/composio","https://github.com/ComposioHQ/composio.git","next","Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.","crewai","28756","4620","TypeScript","agentic-ai,agents,ai,ai-agents,aiagents,developer-tools,function-calling,gpt-4,javascript,js,llm,llmops,mcp,python,remote-mcp-server,sse,typescript","130","336095","2024-02-23T13:58:27Z","2026-06-13T17:27:56Z","2026-06-13T19:55:12Z","MIT","841","58","4202","149.89"
"ag-ui-protocol/ag-ui","https://github.com/ag-ui-protocol/ag-ui","https://github.com/ag-ui-protocol/ag-ui.git","main","AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.","crewai","14247","1283","Python","ag-ui-protocol,agent-frontend,agent-ui,agentic-workflow,ai-agents","319","42108","2025-05-07T12:49:37Z","2026-06-13T18:18:53Z","2026-06-13T18:00:52Z","MIT","402","121","2336","174.33"
"Arindam200/awesome-ai-apps","https://github.com/Arindam200/awesome-ai-apps","https://github.com/Arindam200/awesome-ai-apps.git","main","A collection of projects showcasing RAG, agents, workflows, and other AI use cases","crewai, openai-agents","12793","1636","Python","agents,ai,hacktoberfest,llm,mcp","67","473149","2025-02-16T13:57:00Z","2026-06-13T17:23:03Z","2026-06-12T19:55:56Z","MIT","481","27","511","31.87"
"microsoft/agent-lightning","https://github.com/microsoft/agent-lightning","https://github.com/microsoft/agent-lightning.git","main","The absolute trainer to light up AI agents.","agentops, crewai","17306","1512","Python","agent,agentic-ai,llm,mlops,reinforcement-learning","156","51858","2025-06-18T07:28:45Z","2026-06-13T02:27:31Z","2026-04-29T06:32:24Z","MIT","314","31","255","24.36"
"agentstack-ai/AgentStack","https://github.com/agentstack-ai/AgentStack","https://github.com/agentstack-ai/AgentStack.git","main","The fastest way to build robust AI agents","crewai, openai-swarm","2166","218","Python","","68","12168","2024-09-18T21:40:53Z","2026-06-12T20:46:14Z","2025-07-11T21:39:44Z","MIT","295","27","987","100.37"
"vectorize-io/hindsight","https://github.com/vectorize-io/hindsight","https://github.com/vectorize-io/hindsight.git","main","Hindsight: Agent Memory That  Learns","crewai","16270","931","Python","agentic-ai,agents,ai-memory,memory","62","664492","2025-10-30T11:49:48Z","2026-06-13T19:46:58Z","2026-06-12T22:42:02Z","MIT","225","129","1784","237.87"
"bonigarcia/context-engineering","https://github.com/bonigarcia/context-engineering","https://github.com/bonigarcia/context-engineering.git","main","Context Engineering: Build Consistent, Accurate, Predictable AI Systems","crewai","80","15","Python","agent-skills,agentic-ai,context-engineering,generative-ai,llm,mcp,mcp-server,memory-management,multi-agent-systems,prompting,rag,spec-driven-development","0","2410","2025-10-16T19:48:04Z","2026-06-13T19:55:21Z","2026-06-12T06:08:09Z","Apache-2.0","238","3","805","101.47"
"oracle-devrel/technology-engineering","https://github.com/oracle-devrel/technology-engineering","https://github.com/oracle-devrel/technology-engineering.git","main","technology-engineering","crewai","171","105","Jupyter Notebook","","254","1479618","2023-06-09T13:11:51Z","2026-06-12T16:51:42Z","2026-06-12T22:43:33Z","UPL-1.0","1099","195","8771","239.43"
"always-further/AgentUp","https://github.com/always-further/AgentUp","https://github.com/always-further/AgentUp.git","main","Portable , scalable , secure AI Agents","crewai","121","24","Python","a2a-agent,a2a-agent-example,a2a-ai,a2a-auth,agent-fastapi,agent2agent,ai-agents,mcp,mcp-server,python","36","39180","2025-06-29T15:48:50Z","2026-06-13T07:40:10Z","2026-05-25T21:21:31Z","Apache-2.0","330","5","389","35.36"
"ArchAI-Labs/code_explainer","https://github.com/ArchAI-Labs/code_explainer","https://github.com/ArchAI-Labs/code_explainer.git","main","AI-powered tools to automate code documentation and optimize developer operations.","crewai","44","8","Python","","0","39247","2025-04-15T10:11:23Z","2026-05-05T10:15:18Z","2026-05-05T10:15:21Z","Apache-2.0","385","3","58","4.52"
"hidai25/eval-view","https://github.com/hidai25/eval-view","https://github.com/hidai25/eval-view.git","main","Regression testing for AI agents. Snapshot behavior,diff tool calls,catch regressions in CI. Works with LangGraph, CrewAI, OpenAI, Anthropic.","crewai","114","20","Python","agent-benchmark,agent-evaluation,agentic-ai,ai-agents,anthropic,autogen,cli,crewai,evaluation,langchain-agent,langgraph,llm,mcp,openai-assistants,pytest,python,regression-testing,testing","9","123220","2025-11-17T22:21:38Z","2026-06-05T04:04:30Z","2026-06-03T19:41:48Z","Apache-2.0","197","15","795","121.07"
"insightbuilder/codeai_fusion","https://github.com/insightbuilder/codeai_fusion","https://github.com/insightbuilder/codeai_fusion.git","main","Code AI Fusion is created with objective of bringing the Generative Power AI and mix with the pure logic that is written with code. ","crewai","24","7","HTML","agents,artificial-intelligence,notion-api,python","5","161595","2024-08-15T13:35:24Z","2026-01-17T08:12:11Z","2025-08-21T03:40:50Z","MIT","370","4","295","23.92"
"dshivendra/crewai_mcp_adapter","https://github.com/dshivendra/crewai_mcp_adapter","https://github.com/dshivendra/crewai_mcp_adapter.git","main","","crewai","14","6","Python","","2","932","2025-02-23T19:34:13Z","2026-03-26T04:40:52Z","2026-03-29T07:50:22Z","MIT","398","5","34","2.56"
"sciosci/mamorx-review-system","https://github.com/sciosci/mamorx-review-system","https://github.com/sciosci/mamorx-review-system.git","main","","crewai","11","0","Python","","1","35353","2024-08-05T23:31:07Z","2026-05-22T17:00:53Z","2026-05-22T17:00:49Z","NOASSERTION","654","6","332","15.23"
"cloud-ru/evo-ai-agents-labs","https://github.com/cloud-ru/evo-ai-agents-labs","https://github.com/cloud-ru/evo-ai-agents-labs.git","main","Лабораторные работы AI Agents","crewai","13","8","Python","","0","2720","2025-09-10T11:14:17Z","2026-06-08T19:39:34Z","2026-04-13T07:37:28Z","MIT","214","7","21","2.94"
"IABTechLab/buyer-agent","https://github.com/IABTechLab/buyer-agent","https://github.com/IABTechLab/buyer-agent.git","main","","crewai","19","8","Python","","6","4133","2026-01-27T21:59:37Z","2026-05-28T18:58:25Z","2026-06-11T19:30:00Z","Apache-2.0","134","5","364","81.49"
"jagmarques/asqav-sdk","https://github.com/jagmarques/asqav-sdk","https://github.com/jagmarques/asqav-sdk.git","main","Python and TypeScript SDKs for verifiable evidence of AI agent actions. Signed receipts, policy enforcement, audit trails. Works with LangChain, CrewAI, MCP.","crewai","173","20","Python","ai-agent-governance,ai-agents,ai-compliance,ai-governance,ai-security,audit-trail,compliance,crewai,dora,eu-ai-act,fips-204,langchain,mcp,ml-dsa,openai-agents,policy-enforcement,python,python-sdk,quantum-safe,sdk","0","1650","2026-01-14T07:30:37Z","2026-06-13T18:04:46Z","2026-06-13T18:04:43Z","MIT","150","7","337","67.4"
"vektori-ai/vektori","https://github.com/vektori-ai/vektori","https://github.com/vektori-ai/vektori.git","main","Memory that remembers the story not just the facts. File System Memory and Three layer  sentence graph for AI agents -> Facts, Episodes, raw Sentences.   One DB. Zero config.","crewai","123","9","Python","ai-agents,ai-memory,anthropic,context-engineering,knowledge-graph,llm,long-term-memory,memory,ollama,open-source,openai,personalization,pgvector,python,rag,self-hosted,sentence-graph,sqlite,state-management,vector-database","14","2216","2026-03-23T17:46:54Z","2026-06-11T19:35:13Z","2026-06-12T08:47:00Z","Apache-2.0","80","6","196","73.5"
"google-gemini/workshops","https://github.com/google-gemini/workshops","https://github.com/google-gemini/workshops.git","main","","crewai","224","64","Jupyter Notebook","","360","174667","2024-04-09T03:52:43Z","2026-06-07T14:16:25Z","2026-06-13T13:32:59Z","Apache-2.0","795","24","320","12.08"
"ag2ai/ag2","https://github.com/ag2ai/ag2","https://github.com/ag2ai/ag2.git","main","AG2 (formerly AutoGen): The Open-Source AgentOS.Join us at: https://discord.gg/sNGSwQME3x","crewai","4671","653","Python","a2a,ag2,agent-framework,agentic,agentic-ai,ai,ai-agents-framework,aiagents,genai,llm,llms,mcp,multi-agent,multi-agent-system,open-source,python","128","4261512","2024-11-11T20:43:34Z","2026-06-13T16:47:31Z","2026-06-12T20:43:47Z","Apache-2.0","578","494","5257","272.85"
"strnad/CrewAI-Studio","https://github.com/strnad/CrewAI-Studio","https://github.com/strnad/CrewAI-Studio.git","main","A user-friendly, multi-platform GUI for managing and running CrewAI agents and tasks. Supports Conda and virtual environments, no coding needed. ","crewai","1291","313","Python","agents,ai,crewai,crewaigui,crewaiui,gui,no-code,streamlit","19","1358","2024-05-30T08:15:40Z","2026-06-12T06:29:52Z","2026-06-11T15:42:25Z","MIT","742","20","224","9.06"
